,rule,n_cells,m_attractors,max_period,max_transient,derrida_coeff,transient_to_attractor
486,162,12,32,12,5,0.625,11.681114551083592
487,162,14,65,14,6,0.625,18.412322274881518
488,162,16,144,16,7,0.625,28.681159420289855
489,163,12,9,24,10,0.75,36.236363636363635
490,163,14,11,28,11,0.75,91.04494382022472
491,163,16,19,32,12,0.75,161.62034739454094
492,164,12,108,4,5,0.875,30.751937984496124
493,164,14,221,14,6,0.875,47.47337278106509
494,164,16,454,1,8,0.875,143.352422907489
495,165,12,70,4,2,1.0,15.0
496,165,14,298,14,1,1.0,3.0
497,165,16,1,1,8,1.0,65535.0
498,166,12,308,24,2,1.0,0.024
499,166,14,564,56,1,1.0,0.007874015748031496
500,166,16,4081,16,8,1.0,0.007843016639498048
501,167,12,64,24,15,0.875,3.835891381345927
502,167,14,76,56,11,0.875,4.706722396377569
503,167,16,552,32,18,0.875,6.459988616960729
504,168,12,32,12,10,0.625,11.681114551083592
505,168,14,65,14,12,0.625,18.412322274881518
506,168,16,144,16,14,0.625,28.681159420289855
507,169,12,37,168,85,1.0,4.673130193905817
508,169,14,72,448,153,1.0,3.7053417576105687
509,169,16,155,2688,457,1.0,7.503438432593746
510,170,12,352,12,0,0.5,0.0
511,170,14,1182,14,0,0.5,0.0
512,170,16,4116,16,0,0.5,0.0
513,171,12,132,12,1,0.625,1.732488325550367
514,171,14,369,14,1,0.625,2.2309209228948927
515,171,16,1083,16,1,0.625,2.820227338968231
516,172,12,109,12,10,0.75,19.897959183673468
517,172,14,228,14,12,0.75,37.824644549763036
518,172,16,484,16,14,0.75,71.3355408388521
519,173,12,29,12,9,0.875,14.226765799256505
520,173,14,51,42,9,0.875,22.372325249643367
521,173,16,115,48,12,0.875,33.1867501304121
522,174,12,77,12,1,0.625,3.801875732708089
523,174,14,193,14,1,0.625,5.236771983250857
524,174,16,514,16,1,0.625,7.100865265760198
525,175,12,31,12,1,0.5,11.641975308641975
526,175,14,63,14,1,0.5,18.48156956004756
527,175,16,143,16,1,0.5,28.667722951561792
528,176,12,32,12,5,0.625,11.681114551083592
529,176,14,65,14,6,0.625,18.412322274881518
530,176,16,144,16,7,0.625,28.681159420289855
531,177,12,9,24,10,0.75,36.236363636363635
532,177,14,11,28,11,0.75,91.04494382022472
533,177,16,19,32,12,0.75,161.62034739454094
534,178,12,164,2,5,0.75,11.56441717791411
535,178,14,423,2,6,0.75,18.412322274881518
536,178,16,1105,2,7,0.75,28.681159420289855
537,179,12,163,2,6,0.625,11.603076923076923
538,179,14,422,2,7,0.625,18.43534994068802
539,179,16,1104,2,8,0.625,28.694608065246943
540,180,12,308,24,2,1.0,0.024
541,180,14,564,56,1,1.0,0.007874015748031496
542,180,16,4081,16,8,1.0,0.007843016639498048
543,181,12,64,24,15,0.875,3.835891381345927
544,181,14,76,56,11,0.875,4.706722396377569
545,181,16,552,32,18,0.875,6.459988616960729
546,182,12,21,36,8,1.125,20.333333333333332
547,182,14,46,14,17,1.125,81.74747474747475
548,182,16,80,14,22,1.125,116.44802867383513
549,183,12,20,36,8,0.75,20.445026178010473
